area,Typeoflocation,time,Weather,typeofvehicle,ageofvehicle,natureofaccidents,causeofaccidents,accidentvictimsage,eduofdriver,according to Responsibilities of Driver,speed,roadconditions,roadfeature,typeofjunction,type of traffic control,Owner of Type of Vehicles and Type of Licence,Gender
Eastern Express Highway,affected by encroachments ,9am-12pm ,other extraordinary weather conditions,car/jeep/taxi/buses(4 wheeler) ,<1 ,skiding ,other causes/causes not known,6-9years ,not known,alchol intake ,>70,others , single lane ,staggered jucntion ,stop sign  ,without licence,female
Eastern Express Highway,at pedestrian crossing ,3am-6am,other extraordinary weather conditions,other motor vehicles,>10,right turn collision ,defect in condition of motor vehicle ,18-20years ,above 10th std ,passed on curve ,50-70 ,Dry road , single lane ,round about junction ,police controlled ,learners licence ,female
LBS Road,in bazar ,12pm-3pm ,Fine , 2 wheeler ,4-6year ,right engled collsion ,neglect of civic bodies ,<5years ,9-10std ,give improper signal,>70,others ,4 Lanes or more with central divider,round about junction ,traffic light signal ,paid driver ,male
Chedda Nagar,near a religious place ,3pm-6pm ,Fine ,car/jeep/taxi/buses(4 wheeler) ,8-10year ,overturning ,weather condition ,<5years , upto 8th std ,cut in sharply after passing ,>70,straight road ,two lane ,v junction ,stop sign  ,without licence,male
Pant Nagar,near a religious place ,9pm-12am ,light rain ,3 wheeler ,<1 ,overturning ,neglect of civic bodies ,6-9years , upto 8th std ,passed on curve ,>70,others ,two lane ,round about junction ,uncontolled,regular licence ,female
Chedda Nagar,near office complex ,9pm-12am ,cloudy ,other motor vehicles,6-8year ,rear end collision ,poor light ,unknown age,9-10std ,excceding lawful speed ,<30 ,road under construction/repair ,two lane ,round about junction ,police controlled ,others ,female
Pant Nagar,near a factory or indu. Area ,3pm-6pm ,cloudy , 2 wheeler ,>10,right turn collision ,defect in road condition ,<5years , upto 8th std ,failed to give signal ,<30 ,incline road ,3 Lanes or more without central Divider Median ,four arm junction ,stop sign  ,owner of public commercial vehicle ,female
Asalpha,near a religious place ,3am-6am,cloudy ,other motor vehicles,4-6year ,skiding ,other causes/causes not known,65 and above ,9-10std ,give improper signal,30-50 ,Wet road ,3 Lanes or more without central Divider Median ,v junction ,police controlled ,owner of private vehicle ,female
Barve Nagar,near bus stop ,12am-3am ,Fine ,other motor vehicles,1-2year ,hit and run ,neglect of civic bodies ,18-20years ,above 10th std ,on wrong side of the road ,50-70 , Surfaced Roads   ,two lane ,round about junction ,stop sign  ,others ,female
Pant Nagar,near hospital ,3pm-6pm ,Fine ,other motor vehicles,1-2year ,head on collision ,defect in road condition ,15-17years ,9-10std ,passed on curve ,>70, Surfaced Roads   ,3 Lanes or more without central Divider Median ,junction with >4 arms ,uncontolled,owner of public commercial vehicle ,female
Chedda Nagar,near a religious place ,3am-6am,Fine ,3 wheeler ,2-4year ,collision brush/side swip , fault of driver ,6-9years ,not known,followed too closely ,>70,rutted/pot holes ,two lane ,round about junction ,traffic light signal ,regular licence ,male
Barve Nagar,residential area ,6am-9am ,other extraordinary weather conditions, 2 wheeler ,2-4year ,others,fault of driver of other vehicles ,21-24years ,9-10std ,did not give right of way to vehicle ,<30 ,incline road ,two lane ,junction with >4 arms ,flashing signal/blinker ,others ,male
Eastern Express Highway,near a factory or indu. Area ,12pm-3pm ,light rain ,car/jeep/taxi/buses(4 wheeler) ,2-4year ,hit and run ,poor light ,65 and above ,above 10th std ,other improper passsing ,50-70 ,muddy/oily/slippery,two lane ,t junction ,flashing signal/blinker ,without licence,male
Asalpha,near hospital ,12am-3am ,heavy rain ,car/jeep/taxi/buses(4 wheeler) ,1-2year ,collision brush/side swip ,stray animals ,18-20years ,above 10th std ,give improper signal,>70,Dry road ,two lane ,round about junction ,flashing signal/blinker ,without licence,male
Chedda Nagar,narrow bridge or culverts,9am-12pm ,heavy rain ,3 wheeler ,>10,others,weather condition ,unknown age,not known,alchol intake ,30-50 ,Dry road ,two lane ,four arm junction ,police controlled ,paid driver ,female
Pant Nagar,at pedestrian crossing ,3am-6am,light rain ,"trucks ,tempos,tracto ",8-10year ,overturning ,fault of pedestrian ,45-54years , upto 8th std ,other improper passsing ,30-50 ,speed braker ,two lane ,four arm junction ,police controlled ,without licence,male
Pant Nagar,at pedestrian crossing ,9am-12pm ,light rain ,3 wheeler ,4-6year ,rear end collision ,stray animals ,55-64years ,not known,failed to give signal ,30-50 ,muddy/oily/slippery, single lane ,v junction ,uncontolled,paid driver ,female
Barve Nagar,near hospital ,12pm-3pm ,cloudy ,"trucks ,tempos,tracto ",1-2year ,overturning ,defect in condition of motor vehicle ,35-44years ,9-10std ,did not give right of way to pedestrian ,30-50 , Surfaced Roads   , single lane ,v junction ,traffic light signal ,without licence,male
Chedda Nagar,near a factory or indu. Area ,12pm-3pm ,light rain ,car/jeep/taxi/buses(4 wheeler) ,6-8year ,hit and run ,defect in condition of motor vehicle ,65 and above ,not known,did not give right of way to pedestrian ,>70,Kutcha Roads ,4 Lanes or more with central divider,manned rail crossing ,police controlled ,learners licence ,female
Pant Nagar,near a recreation place/cinema ,12pm-3pm ,cloudy ,car/jeep/taxi/buses(4 wheeler) ,8-10year ,right turn collision ,neglect of civic bodies ,25-34years ,9-10std ,passed on hill ,50-70 ,rutted/pot holes , single lane ,round about junction ,flashing signal/blinker ,regular licence ,female
Chedda Nagar,near or inside a village ,3am-6am,cloudy ,other motor vehicles,<1 ,skiding ,weather condition ,45-54years , upto 8th std ,excceding lawful speed ,50-70 ,Wet road , single lane ,round about junction ,traffic light signal ,learners licence ,female
Chedda Nagar,in bazar ,9am-12pm ,cloudy , 2 wheeler ,6-8year ,hit and run ,defect in condition of motor vehicle ,21-24years ,9-10std ,passed on hill ,>70,Wet road ,3 Lanes or more without central Divider Median ,manned rail crossing ,traffic light signal ,without licence,male
Barve Nagar,near office complex ,3am-6am,light rain ,3 wheeler ,4-6year ,right engled collsion ,stray animals ,15-17years ,above 10th std ,cut in sharply after passing ,30-50 ,incline road ,4 Lanes or more with central divider,round about junction ,police controlled ,owner of private vehicle ,female
Pant Nagar,near school/college ,6pm-9pm ,other extraordinary weather conditions,3 wheeler ,1-2year ,skiding ,fault of pedestrian ,<5years ,above 10th std ,followed too closely ,<30 ,rutted/pot holes ,3 Lanes or more without central Divider Median ,t junction ,police controlled ,others ,male
Pant Nagar,near hospital ,12pm-3pm ,cloudy ,"trucks ,tempos,tracto ",>10,hit and run ,poor light ,21-24years ,9-10std ,excceding lawful speed ,50-70 ,Wet road ,two lane ,junction with >4 arms ,stop sign  ,learners licence ,male
LBS Road,at pedestrian crossing ,6pm-9pm ,Fine ,other motor vehicles,4-6year ,others,defect in road condition ,unknown age,9-10std ,did not give right of way to pedestrian ,>70,Wet road , single lane ,four arm junction ,stop sign  ,learners licence ,male
